UnitID,Institution Name,Total price for in-district students living on campus  2024-25 (DRVCOST2024),Total price for in-state students living on campus 2024-25 (DRVCOST2024),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024),State abbreviation (HD2024),
216931,Wilkes University,63255,63255,58369,58369,50939,50939,PA,
365383,Wilkes-Barre Area Career and Technical Center Practical Nursing,,,,,,,PA,
216940,Williamson College of the Trades,38050,38050,,,,,PA,
217013,Wilson College,42201,42201,42593,42593,38023,38023,PA,
442064,Won Institute of Graduate Studies,,,,,,,PA,
481067,World A Cuts Barber Institute,,,,,,,PA,
217040,Yeshivath Beth Moshe,18636,18636,,,,,PA,
217059,York College of Pennsylvania,42528,42528,44596,44596,31318,31318,PA,
418409,York County School of Technology-Adult & Continuing Education,,,,,,,PA,
375939,YTI Career Institute-Altoona,,,,,,,PA,
217077,YTI Career Institute-York,,,,,,,PA,
