"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Community College","Luzerne CC-Wilkse-Barre","Off-Campus Operation","Luzerne","18701","2 Public Square, Wilkes-Barre, PA 18701","41.246313","-75.882097","POINT (-75.882097 41.246313)","Community College - Off-Campus"
"Community College","NCC-Fowler","Off-Campus Operation","Northampton","18015","511 East Third St., Bethlehem, PA 18015","40.61201686","-75.37124413","POINT (-75.37124413 40.61201686)","Community College - Off-Campus"
"PASSHE","Slippery Rock University of Pennsylvania","Main Campus Location","Butler","16057","1 Morrow Way, Slippery Rock, PA 16057","41.066198","-80.0404079","POINT (-80.0404079 41.066198)","PASSHE - Main Campus"
"State-Related Commonwealth University","Penn State Berks","Branch Campus","Berks","19610","1801 Broadcasting Rd, Reading, PA 19610","40.35918445","-75.97511555","POINT (-75.97511555 40.35918445)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Robert Morris University","Main Campus Location","Allegheny","15108","6001 University Blvd, Moon Twp, PA 15108","40.5215586","-80.2115783","POINT (-80.2115783 40.5215586)","Private College/University - Main Campus"
"Community College","CC Beaver-Washington County","Off-Campus Operation","Washington","15317","668 Western Avenue, Canonsburg, PA 15317","40.252808","-80.243153","POINT (-80.243153 40.252808)","Community College - Off-Campus"
"Community College","Delaware CC-Downingtown","Branch Campus","Chester","19335","100 Bond Drive, Downingtown, PA 19335","40.02594742","-75.74576903","POINT (-75.74576903 40.02594742)","Community College - Branch Campus"
"Private College/University","Lackawanna College","Off-Campus Operation","Bradford","18848","1024 S Main St, Towanda, PA 18848","41.7480455","-76.445365","POINT (-76.445365 41.7480455)","Private College/University - Off-Campus"
"Community College","Penn Highlands CC-Somerset","Off-Campus Operation","Somerset","15501","6024 Glades Pike Suite 210, Somerset, PA 15501","39.9988739","-79.0232699","POINT (-79.0232699 39.9988739)","Community College - Off-Campus"
"Community College","Westmoreland CC-New Kensington","Off-Campus Operation","Westmoreland","15068","1150 5th Avenue, New Kensington, PA 15068","40.5690028","-79.7659396","POINT (-79.7659396 40.5690028)","Community College - Off-Campus"
"PASSHE","East Stroudsburg University of Pennsylvania","Main Campus Location","Monroe","18301","200 Prospect St, East Stroudsburg, PA 18301","40.9979175","-75.1726818","POINT (-75.1726818 40.9979175)","PASSHE - Main Campus"
"Private College/University","Haverford College","Main Campus Location","Delaware","19041","370 Lancaster Ave, Haverford, PA 19041","40.0124552","-75.2998864","POINT (-75.2998864 40.0124552)","Private College/University - Main Campus"
"Community College","CCP-Northwest","Off-Campus Operation","Philadelphia","19141","1300 W Godfrey Ave, Philadelphia, PA 19141","40.047154","-75.140864","POINT (-75.140864 40.047154)","Community College - Off-Campus"
"Private College/University","Valley Forge Military College","Main Campus Location","Delaware","19087","1001 Eagle Rd, Wayne, PA 19087","40.052956","-75.382302","POINT (-75.382302 40.052956)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Harrisburg","Branch Campus","Dauphin","17057","777 W Harrisburg Pike, Middletown, PA 17057","40.1975332","-76.7470173","POINT (-76.7470173 40.1975332)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Pennsylvania Institute of Technology","Main Campus Location","Delaware","19063","800 Manchester Ave, Media, PA 19063","39.9084449","-75.3888041","POINT (-75.3888041 39.9084449)","Private College/University - Main Campus"
"State-Related Commonwealth University","University of Pittsburgh-Titusville","Branch Campus","Crawford","16354","504 East Main Street, Titusville, PA 16354","41.6287916","-79.6649761","POINT (-79.6649761 41.6287916)","State-Related Commonwealth University - Branch Campus"
"Community College","Luzerne CC-Pittston","Off-Campus Operation","Luzerne","18640","13 South Main Street, Pittston, PA 18640","41.3222834","-75.7906469","POINT (-75.7906469 41.3222834)","Community College - Off-Campus"
"Private College/University","Moore College of Art & Design","Main Campus Location","Philadelphia","19103","1916 Race St, Philadelphia, PA 19103","39.9568372","-75.1720755","POINT (-75.1720755 39.9568372)","Private College/University - Main Campus"
"Private College/University","International Institute for Restorative Practices","Main Campus Location","Northampton","18018","531 Main St, Bethlehem, PA 18018","40.6213192","-75.3822555","POINT (-75.3822555 40.6213192)","Private College/University - Main Campus"
