Category,Institution,Type (HigherEducationBySector),County,zip code (HigherEducationBySector),Address (HigherEducationBySector),Latitude (HigherEducationBySector),Longitude (HigherEducationBySector),Sector and Type (HigherEducationBySector),City (HigherEducationInstitutions),Total price for in-district students living on campus  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living on campus 2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),State abbreviation (HD2024) (Cost),Distance to Philly (Latitude),Distance to Philly (Longitude),Distance to Pittsburgh (Latitude),Distance to Pittsburgh (Longitude),Distance to Allentown (Latitude),Distance to Allentown (Longitude),Distance to Reading (Latitude),Distance to Reading (Longitude),Distance to Erie (Latitude),Distance to Erie (Longitude),North,East,South,West,Central
Community College,Lehigh CC-Morgan Center,Off-Campus Operation,Schuylkill,18252.0,"234 High Street, Tamaqua, PA 18252",40.7949651,-75.9745066,Community College - Off-Campus,,,,,,,,,0.8423651000000021,-0.8098865999999987,0.35626510000000167,4.0226934000000085,0.19266509999999926,-0.5031065999999953,0.4579650999999956,-0.053106599999992454,-1.334034899999999,4.110493399999996,0,1,0,0,1
Private College/University,Albright College,Main Campus Location,Berks,19604.0,"1621 N 13th St, Reading, PA 19604",40.3627666,-75.9117629,Private College/University - Main Campus,,,,,,,,,0.4101666000000037,-0.7471429,-0.07593339999999671,4.085437100000007,-0.23953339999999912,-0.44036289999999667,0.025766599999997197,0.009637100000006171,-1.7662333999999973,4.173237099999994,0,1,1,0,0
Private College/University,Keystone College,Main Campus Location,Lackawanna,18440.0,"1 College Rd, La Plume, PA 18440",41.558966,-75.7740818,Private College/University - Main Campus,,,,,,,,,1.6063660000000013,-0.6094618000000054,1.1202660000000009,4.223118200000002,0.9566659999999985,-0.302681800000002,1.2219659999999948,0.14731820000000084,-0.5700339999999997,4.310918199999989,1,1,0,0,0
State-Related Commonwealth University,Penn State Scranton,Branch Campus,Lackawanna,18512.0,"120 Ridgeview Dr, Dunmore, PA 18512",41.4408481,-75.6196568,State-Related Commonwealth University - Branch Campus,,,,,,,,,1.4882480999999999,-0.455036800000002,1.0021480999999994,4.377543200000005,0.838548099999997,-0.14825679999999863,1.1038480999999933,0.3017432000000042,-0.6881519000000011,4.465343199999992,1,1,0,0,0
Community College,MCCC-Pottstown,Branch Campus,Montgomery,19464.0,"101 College Drive, Pottstown, PA 19464",40.2447185,-75.6573913,Community College - Branch Campus,,,,,,,,,0.29211850000000084,-0.49277130000000113,-0.19398149999999958,4.339808700000006,-0.357581500000002,-0.18599129999999775,-0.09228150000000568,0.2640087000000051,-1.8842815000000002,4.427608699999993,0,1,1,0,0
Private College/University,Villanova University,Main Campus Location,Delaware,19085.0,"800 Lancaster Ave, Villanova, PA 19085",40.031944,-75.33586,Private College/University - Main Campus,,,,,,,,,0.07934400000000608,-0.1712399999999974,-0.40675599999999434,4.66134000000001,-0.5703559999999968,0.135540000000006,-0.30505600000000044,0.5855400000000088,-2.097055999999995,4.749139999999997,0,1,1,0,0
Private College/University,Bryn Athyn Coll of New Church,Main Campus Location,Montgomery,19009.0,"2945 College Drive, Bryn Athyn, PA 19009",40.1356339,-75.0593266,Private College/University - Main Campus,,,,,,,,,0.1830339000000052,0.10529339999999365,-0.30306609999999523,4.937873400000001,-0.46666609999999764,0.41207339999999704,-0.20136610000000132,0.8620733999999999,-1.9933660999999958,5.025673399999988,0,1,1,0,0
Community College,Montgomery County Community College,Main Campus Location,Montgomery,19422.0,"340 DeKalb Pike, Blue Bell, PA 19422",40.1732267,-75.2751069,Community College - Main Campus,,,,,,,,,0.22062670000000395,-0.11048689999999795,-0.26547329999999647,4.722093100000009,-0.4290732999999989,0.19629310000000544,-0.16377330000000256,0.6462931000000083,-1.955773299999997,4.8098930999999965,0,1,1,0,0
State-Related Commonwealth University,Temple University-Harrisburg,Off-Campus Operation,Dauphin,17101.0,"234 Strawberry St, Harrisburg, PA 17101",40.2609257,-76.8819418,State-Related Commonwealth University - Off-Campus,,,,,,,,,0.3083257000000046,-1.7173218000000077,-0.17777429999999583,3.1152581999999995,-0.34137429999999824,-1.4105418000000043,-0.07607430000000193,-0.9605418000000014,-1.8680742999999964,3.2030581999999868,0,1,0,0,1
Community College,Bucks County Community College,Main Campus Location,Bucks,18940.0,"275 Swamp Road, Newtown, PA 18940",40.2394494,-74.9657987,Community College - Main Campus,,,,,,,,,0.28684940000000125,0.19882130000000586,-0.19925059999999917,5.031401300000013,-0.3628506000000016,0.5056013000000092,-0.09755060000000526,0.9556013000000121,-1.8895505999999997,5.1192013,0,1,1,0,0
Rural Regional College,NPRC-Pitt Titusville,Off-Campus Operation,Venango,16345.0,,,,Rural Regional College - Off-Campus,,,,,,,,,,,,,,,,,,,1,0,0,1,0
Community College,Penn Highlands Community College,Main Campus Location,Cambria,15904.0,"101 Community College Way, Johnstown, PA 15904",40.26374362,-78.83776899,Community College - Main Campus,,,,,,,,,0.31114362000000284,-3.6731489900000014,-0.17495637999999758,1.1594310100000058,-0.33855638,-3.366368989999998,-0.07325638000000367,-2.916368989999995,-1.8652563799999982,1.247231009999993,0,0,1,1,1
State-Related Commonwealth University,Penn State University Hershey Med Center,Branch Campus,Dauphin,17033.0,"700 HMC Crescent Road Hershey, PA 17033",40.270278,-76.671033,State-Related Commonwealth University - Branch Campus,,,,,,,,,0.3176780000000008,-1.506412999999995,-0.16842199999999963,3.3261670000000123,-0.33202200000000204,-1.1996329999999915,-0.06672200000000572,-0.7496329999999887,-1.8587220000000002,3.4139669999999995,0,1,0,0,1
Private College/University,Point Park University,Main Campus Location,Allegheny,15222.0,"201 Wood St, Pittsburgh, PA 15222",40.4388775,-80.0022804,Private College/University - Main Campus,,,,,,,,,0.4862774999999999,-4.837660400000004,0.0001774999999994975,-0.005080399999997098,-0.1634225000000029,-4.530880400000001,0.1018774999999934,-4.080880399999998,-1.690122500000001,0.08271959999999012,0,0,1,1,0
Community College,Community College of Beaver County,Main Campus Location,Beaver,15061.0,"1 Campus Drive, Monaca, PA 15061",40.656109,-80.309212,Community College - Main Campus,,,,,,,,,0.7035090000000039,-5.144592000000003,0.21740900000000352,-0.31201199999999574,0.053809000000001106,-4.837812,0.3191089999999974,-4.387811999999997,-1.472890999999997,-0.22421200000000852,0,0,0,1,0
Community College,CCAC-North,Off-Campus Operation,Allegheny,15237.0,"8701 Perry Highway, Pittsburgh, PA 15237",40.5657029,-80.0395498,Community College - Off-Campus,,,,,,,,,0.6131029000000012,-4.874929800000004,0.1270029000000008,-0.04234979999999666,-0.0365971000000016,-4.5681498000000005,0.2287028999999947,-4.118149799999998,-1.5632970999999998,0.04545019999999056,0,0,1,1,0
Community College,CCAC-South,Off-Campus Operation,Allegheny,15122.0,"1750 Clairton Road, West Mifflin, PA 15122",40.3289286,-79.931751,Community College - Off-Campus,,,,,,,,,0.3763286000000008,-4.767131000000006,-0.10977139999999963,0.06544900000000098,-0.27337140000000204,-4.460351000000003,-0.008071400000005724,-4.010351,-1.8000714000000002,0.1532489999999882,0,0,1,1,0
Private College/University,DeSales University,Main Campus Location,Lehigh,18034.0,"2755 Station Ave, Center Valley, PA 18034",40.5366511,-75.3773726,Private College/University - Main Campus,,,,,,,,,0.5840511000000035,-0.21275260000000173,0.09795110000000307,4.6198274000000055,-0.06564889999999934,0.09402740000000165,0.19965109999999697,0.5440274000000045,-1.5923488999999975,4.707627399999993,0,1,0,0,1
Community College,Butler CC-Lawrence Crossing,Off-Campus Operation,Lawrence,16101.0,"2849 W State Street, New Castle, PA 16101",41.003082,-80.360498,Community College - Off-Campus,,,,,,,,,1.0504820000000024,-5.1958780000000075,0.5643820000000019,-0.36329800000000034,0.4007819999999995,-4.889098000000004,0.6660819999999958,-4.439098000000001,-1.1259179999999986,-0.2754980000000131,0,0,0,1,1
Private College/University,Pittsburgh Technical College,Main Campus Location,Allegheny,15071.0,"1111 McKee Rd, Oakdale, PA 15071",40.4247435,-80.1892838,Private College/University - Main Campus,,,,,,,,,0.4721435000000014,-5.024663799999999,-0.013956499999999039,-0.1920837999999918,-0.17755650000000145,-4.717883799999996,0.08774349999999487,-4.267883799999993,-1.7042564999999996,-0.10428380000000459,0,0,1,1,0
Community College,Luzerne CC-Wilkse-Barre,Off-Campus Operation,Luzerne,18701.0,"2 Public Square, Wilkes-Barre, PA 18701",41.246313,-75.882097,Community College - Off-Campus,,,,,,,,,1.2937130000000039,-0.7174770000000024,0.8076130000000035,4.115103000000005,0.6440130000000011,-0.410696999999999,0.9093129999999974,0.03930300000000386,-0.8826869999999971,4.202902999999992,1,1,0,0,0
Community College,NCC-Fowler,Off-Campus Operation,Northampton,18015.0,"511 East Third St., Bethlehem, PA 18015",40.61201686,-75.37124413,Community College - Off-Campus,,,,,,,,,0.6594168600000003,-0.20662412999999447,0.1733168599999999,4.625955870000013,0.009716859999997496,0.10015587000000892,0.2750168599999938,0.5501558700000118,-1.5169831400000007,4.71375587,0,1,0,0,0
State-Related Commonwealth University,Penn State Berks,Branch Campus,Berks,19610.0,"1801 Broadcasting Rd, Reading, PA 19610",40.35918445,-75.97511555,State-Related Commonwealth University - Branch Campus,,,,,,,,,0.406584450000004,-0.8104955499999988,-0.07951554999999644,4.022084450000008,-0.24311554999999885,-0.5037155499999955,0.02218444999999747,-0.05371554999999262,-1.769815549999997,4.109884449999996,0,1,1,0,0
Private College/University,Robert Morris University,Main Campus Location,Allegheny,15108.0,"6001 University Blvd, Moon Twp, PA 15108",40.5215586,-80.2115783,Private College/University - Main Campus,,,,,,,,,0.568958600000002,-5.0469583,0.08285860000000156,-0.2143782999999928,-0.08074140000000085,-4.740178299999997,0.18455859999999547,-4.290178299999994,-1.607441399999999,-0.12657830000000558,0,0,1,1,0
Community College,CC Beaver-Washington County,Off-Campus Operation,Washington,15317.0,"668 Western Avenue, Canonsburg, PA 15317",40.252808,-80.243153,Community College - Off-Campus,,,,,,,,,0.3002080000000049,-5.078533000000007,-0.1858919999999955,-0.2459530000000001,-0.3494919999999979,-4.771753000000004,-0.0841920000000016,-4.321753000000001,-1.876191999999996,-0.15815300000001287,0,0,1,1,0
Community College,Delaware CC-Downingtown,Branch Campus,Chester,19335.0,"100 Bond Drive, Downingtown, PA 19335",40.02594742,-75.74576903,Community College - Branch Campus,,,,,,,,,0.0733474200000046,-0.581149030000006,-0.4127525799999958,4.251430970000001,-0.5763525799999982,-0.27436903000000257,-0.3110525800000019,0.17563097000000027,-2.1030525799999964,4.3392309699999885,0,1,1,0,0
Private College/University,Lackawanna College,Off-Campus Operation,Bradford,18848.0,"1024 S Main St, Towanda, PA 18848",41.7480455,-76.445365,Private College/University - Off-Campus,,,,,,,,,1.7954455000000067,-1.280744999999996,1.3093455000000063,3.551835000000011,1.1457455000000039,-0.9739649999999926,1.4110455000000002,-0.5239649999999898,-0.3809544999999943,3.6396349999999984,1,1,0,0,0
Community College,Penn Highlands CC-Somerset,Off-Campus Operation,Somerset,15501.0,"6024 Glades Pike Suite 210, Somerset, PA 15501",39.9988739,-79.0232699,Community College - Off-Campus,,,,,,,,,0.046273900000002754,-3.858649900000003,-0.43982609999999767,0.973930100000004,-0.6034261000000001,-3.5518699,-0.33812610000000376,-3.101869899999997,-2.1301260999999982,1.0617300999999912,0,0,1,1,0
